Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Jae Crowder (12001589),Jae Crowder,12001589,SF/PF/F/UTIL,5000,MIN@UTA 01/25/2019 09:00PM ET,UTA,23.47
SF/PF,P.J. Tucker (12001596),P.J. Tucker,12001596,SF/PF/F/UTIL,5000,TOR@HOU 01/25/2019 08:00PM ET,HOU,22.11
SG/SF,Joe Harris (12001603),Joe Harris,12001603,SG/SF/F/G/UTIL,4900,NY@BKN 01/25/2019 07:30PM ET,BKN,23.82
PG/SF,Kyle Anderson (12001577),Kyle Anderson,12001577,PG/SF/F/G/UTIL,4900,SAC@MEM 01/25/2019 08:00PM ET,MEM,23.63
PF/C,Wendell Carter Jr. (12001571),Wendell Carter Jr.,12001571,PF/C/F/UTIL,4800,LAC@CHI 01/25/2019 08:00PM ET,CHI,25.11
PG/SG,Patrick Beverley (12001633),Patrick Beverley,12001633,PG/SG/G/UTIL,4800,LAC@CHI 01/25/2019 08:00PM ET,LAC,19.62
SF/PF,Cedi Osman (12001608),Cedi Osman,12001608,SF/PF/F/UTIL,4800,MIA@CLE 01/25/2019 07:30PM ET,CLE,22.56
SG/SF,Nicolas Batum (12001628),Nicolas Batum,12001628,SG/SF/F/G/UTIL,4800,CHA@MIL 01/25/2019 08:30PM ET,CHA,23.21
PG,Dennis Smith Jr. (12001600),Dennis Smith Jr.,12001600,PG/G/UTIL,4800,DET@DAL 01/25/2019 08:30PM ET,DAL,24.53
PG/SG,Dwyane Wade (12001620),Dwyane Wade,12001620,PG/SG/G/UTIL,4700,MIA@CLE 01/25/2019 07:30PM ET,MIA,26.32
SF/PF,Jonathan Isaac (12001624),Jonathan Isaac,12001624,SF/PF/F/UTIL,4700,WAS@ORL 01/25/2019 07:00PM ET,ORL,19.29
C,Enes Kanter (12001575),Enes Kanter,12001575,C/UTIL,4700,NY@BKN 01/25/2019 07:30PM ET,NY,32.48
PG/SG,Allonzo Trier (12001612),Allonzo Trier,12001612,PG/SG/G/UTIL,4700,NY@BKN 01/25/2019 07:30PM ET,NY,18.23
